name,collection,severity,polygons,vertices,dimensions,location,material_count,materials,issues,recommendation
node_0.023,04_Stone_Ring_Road,2,20228,13563,1.193 x 1.717 x 0.915,"17.715, -5.335, -0.186",1,Material.065,auto_import_name;high_poly_gt_10k;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.024,Scene Collection,2,15301,10413,1.077 x 0.896 x 1.064,"-12.412, -8.61, -0.012",1,Material.182,auto_import_name;high_poly_gt_10k;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.026,04_Stone_Ring_Road,2,15301,10413,1.079 x 0.903 x 1.065,"-5.759, 13.595, -0.08",1,Material.059,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.027,04_Stone_Ring_Road,2,15301,10413,1.077 x 0.896 x 1.064,"-6.412, -12.61, -0.012",1,Material.061,auto_import_name;high_poly_gt_10k;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.028,Scene Collection,2,20943,12191,1.996 x 0.937 x 0.307,"-16.224, -5.666, 0.167",1,Material.027,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.029,Collection 5,2,11408,6806,0.713 x 1.377 x 0.696,"18.877, 6.079, 0.152",1,Material.049,auto_import_name;high_poly_gt_10k;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.030,04_Stone_Ring_Road,2,15301,10413,0.897 x 0.747 x 0.886,"12.346, -8.77, -0.046",1,Material.063,auto_import_name;high_poly_gt_10k;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.031,04_Stone_Ring_Road,1,2416,5113,3.722 x 2.28 x 1.221,"16.242, 5.492, -0.024",1,Material.069,auto_import_name;medium_poly_gt_2k;nonzero_rotation_transform;non_applied_scale,rename_semantically;apply_transforms_before_export
node_0.032,Collection 5,1,8798,4995,1.457 x 2.125 x 1.435,"18.802, 7.282, -0.034",1,Material.050,auto_import_name;medium_poly_gt_2k;non_applied_scale,rename_semantically;apply_transforms_before_export
node_0.033,Collection 5,2,15599,9593,3.33 x 3.118 x 1.335,"12.392, 11.072, -0.024",1,Material.050,auto_import_name;high_poly_gt_10k;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.034,04_Stone_Ring_Road,1,543,1049,1.094 x 1.673 x 1.082,"14.552, 10.352, -0.034",1,Material.070,auto_import_name;non_applied_scale,rename_semantically;apply_transforms_before_export
node_0.035,04_Stone_Ring_Road,2,15599,9593,2.498 x 2.304 x 1.001,"14.012, 8.982, -0.054",1,Material.071,auto_import_name;high_poly_gt_10k;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.036,04_Stone_Ring_Road,2,19553,11595,5.236 x 3.451 x 1.544,"13.622, 8.122, -0.044",1,Material.072,auto_import_name;high_poly_gt_10k;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.037,Scene Collection,2,49980,33058,11.959 x 0.146 x 11.969,"0.141, -0.169, 0.203",1,Material.014,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.038,Collection 5,2,20943,12191,1.994 x 0.941 x 0.312,"-17.717, 2.358, -0.041",1,Material.056,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.041,04_Stone_Ring_Road,2,36401,25826,1.905 x 1.5 x 2.336,"-9.296, 7.331, 0.116",1,Material.077,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.046,Collection 5,2,16467,9983,0.863 x 1.854 x 0.889,"19.203, -3.322, -0.038",1,Material.049,auto_import_name;high_poly_gt_10k;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.047,04_Stone_Ring_Road,2,49980,33058,4.786 x 0.146 x 4.787,"-0.61, -9.7, 0.05",1,Material.001,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.053,04_Stone_Ring_Road,2,15301,10413,0.718 x 0.597 x 0.709,"16.264, 4.878, -0.076",1,Material.007,auto_import_name;high_poly_gt_10k;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.054,04_Stone_Ring_Road,2,21962,12525,2.536 x 1.885 x 0.806,"16.207, 1.779, -0.038",1,Material.008,auto_import_name;high_poly_gt_10k;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.055,04_Stone_Ring_Road,1,8798,4995,0.729 x 1.062 x 0.718,"14.972, 7.122, -0.034",1,Material.009,auto_import_name;medium_poly_gt_2k;non_applied_scale,rename_semantically;apply_transforms_before_export
node_0.056,Scene Collection,2,20943,12191,1.994 x 0.941 x 0.312,"-18.165, 0.09, 0.049",1,Material.016,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.057,04_Stone_Ring_Road,1,8798,4995,0.729 x 1.062 x 0.718,"17.452, 2.542, -0.034",1,Material.011,auto_import_name;medium_poly_gt_2k;non_applied_scale,rename_semantically;apply_transforms_before_export
node_0.058,04_Stone_Ring_Road,2,19528,11557,5.236 x 2.905 x 1.544,"16.632, 0.552, -0.044",1,Material.012,auto_import_name;high_poly_gt_10k;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.059,Scene Collection,2,20943,12191,1.994 x 0.941 x 0.312,"-16.145, 6.194, -0.041",1,Material.017,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.060,Scene Collection,2,20943,12191,1.994 x 0.941 x 0.312,"-17.046, 4.302, -0.041",1,Material.018,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.061,Scene Collection,2,20943,12191,1.994 x 0.941 x 0.312,"-15.118, 8.167, -0.041",1,Material.019,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.062,Scene Collection,2,20943,12191,1.994 x 0.941 x 0.312,"-12.168, 10.73, 0.247",1,Material.020,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.063,Scene Collection,2,20943,12191,1.994 x 0.941 x 0.312,"-13.899, 9.441, 0.159",1,Material.021,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.064,Scene Collection,2,20943,12191,1.994 x 0.941 x 0.312,"-8.419, 12.974, -0.151",1,Material.022,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.066,Scene Collection,2,20943,12191,1.994 x 0.941 x 0.312,"-15.307, -7.526, -0.043",1,Material.028,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
